NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,COUNTY,UNITS,SIZE,TOTAL_SCORE,OWNER_NAME,OWNER_MAIL_ADDR,OWNER_MAIL_CITY,OWNER_MAIL_STATE,OWNER_MAIL_ZIP,PARCEL_ID,LAST_SALE_YR,LAST_SALE_PRICE,JUST_VALUE,TENURE_YRS,OWNER_TYPE,ABSENTEE,STATUS,LOOKUP_URL
MARY ANN TRAILER PARK,3608 14TH STREET W,BRADENTON,FL,34205,(941) 773-4465,MANATEE,38,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=MANATEE+county+FL+property+search+MARY+ANN+TRAILER+PARK+BRADENTON
MERE'S MOBILE HOME PARK 3,1555 N TAMIAMI TRAIL,NORTH FORT MYERS,FL,33903,(239) 707-3469,LEE,33,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=LEE+county+FL+property+search+MERE%27S+MOBILE+HOME+PARK+3+NORTH+FORT+MYERS
MINNEHAHA TRAILER PARK,660 HOOK STREET,CLERMONT,FL,34711,(352) 394-4497,LAKE,45,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=LAKE+county+FL+property+search+MINNEHAHA+TRAILER+PARK+CLERMONT
OAK HAVEN MHP,1630 NORTH CR 547,DAVENPORT,FL,33837,(813) 689-0569,POLK,28,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=POLK+county+FL+property+search+OAK+HAVEN+MHP+DAVENPORT
OAK LANE MOBILE HOME PARK,14236 MAX HOOKS ROAD 62,CLERMONT,FL,34711,(352) 243-7577,LAKE,60,MEDIUM (51-100),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=LAKE+county+FL+property+search+OAK+LANE+MOBILE+HOME+PARK+CLERMONT
OAK MEADOWS MH & RV PARK,3655 E JOHNSON AVENUE,HAINES CITY,FL,33844,(813) 267-2672,POLK,53,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=POLK+county+FL+property+search+OAK+MEADOWS+MH+%26+RV+PARK+HAINES+CITY
PINE GROVE MOBILE HOME PARK,18681 N HWY 441,REDDICK,FL,32686,(352) 207-9741,MARION,30,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=MARION+county+FL+property+search+PINE+GROVE+MOBILE+HOME+PARK+REDDICK
PINE GROVE MOBILE HOME PARK,2245 NEW TAMPA HIGHWAY,LAKELAND,FL,33801,(352) 207-9741,POLK,25,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=POLK+county+FL+property+search+PINE+GROVE+MOBILE+HOME+PARK+LAKELAND
PINE MANOR EAST MOBILE HOME PARK,2815 NW PINE AVENUE,OCALA,FL,34475,(352) 463-1890,MARION,52,MEDIUM (51-100),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=MARION+county+FL+property+search+PINE+MANOR+EAST+MOBILE+HOME+PARK+OCALA
PINE NEEDLE PARK,6280 HAMILTON DRIVE 3,FORT MYERS,FL,33905,(239) 694-3286,LEE,43,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=LEE+county+FL+property+search+PINE+NEEDLE+PARK+FORT+MYERS
PIONEER TRAILER PARK,1615 51ST AVENUE E,BRADENTON,FL,34203,(727) 386-6479,MANATEE,37,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=MANATEE+county+FL+property+search+PIONEER+TRAILER+PARK+BRADENTON
REEDY HAVEN TRAILER PARK,285 LAKE AVENUE,FROSTPROOF,FL,33843,(863) 635-4783,POLK,36,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=POLK+county+FL+property+search+REEDY+HAVEN+TRAILER+PARK+FROSTPROOF
SHADY ACRES MHP AND RV PARK,14417 US HIGHWAY 19,BAYONET POINT,FL,34667,(727) 868-9589,PASCO,48,MEDIUM (51-100),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=PASCO+county+FL+property+search+SHADY+ACRES+MHP+AND+RV+PARK+BAYONET+POINT
SHADY ACRES MOBILE HOME PARK,16901 SE HWY 301,SUMMERFIELD,FL,34491,(352) 445-1832,MARION,40,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=MARION+county+FL+property+search+SHADY+ACRES+MOBILE+HOME+PARK+SUMMERFIELD
SHADY GROVE MOBILE HOME PARK,5100 NW GAINESVILLE ROAD,OCALA,FL,34475,(352) 208-4814,MARION,28,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=MARION+county+FL+property+search+SHADY+GROVE+MOBILE+HOME+PARK+OCALA
SHADY OAKS MOBILE HOME PARK,1215 US HIGHWAY 17 92 N,DAVENPORT,FL,33837,NOT AVAILABLE,POLK,30,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=POLK+county+FL+property+search+SHADY+OAKS+MOBILE+HOME+PARK+DAVENPORT
SHADY OAKS MOBILE HOME PARK,3245 E MAIN STREET,LAKELAND,FL,33801,NOT AVAILABLE,POLK,30,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=POLK+county+FL+property+search+SHADY+OAKS+MOBILE+HOME+PARK+LAKELAND
SHADY REST MOBILE HOME PARK,37836 8TH AVENUE,ZEPHYRHILLS,FL,33542,(813) 782-3019,PASCO,60,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=PASCO+county+FL+property+search+SHADY+REST+MOBILE+HOME+PARK+ZEPHYRHILLS
SHADY VILLAGE TRAILER PARK,3200 NOVA ROAD S,DAYTONA BEACH,FL,32119,(386) 760-3823,VOLUSIA,55,MEDIUM (51-100),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=VOLUSIA+county+FL+property+search+SHADY+VILLAGE+TRAILER+PARK+DAYTONA+BEACH
SILVERWOOD VILLAGE M H P,201 NE 68 COURT,OCALA,FL,34470,(352) 236-3378,MARION,25,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=MARION+county+FL+property+search+SILVERWOOD+VILLAGE+M+H+P+OCALA
SOUTHWIND VILLAGE,1269 RIVER ROAD,NORTH FORT MYERS,FL,33903,(239) 995-8005,LEE,58,MEDIUM (51-100),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=LEE+county+FL+property+search+SOUTHWIND+VILLAGE+NORTH+FORT+MYERS
SOUTHWINDS MOBILE HOME COURT,1425 RITTER ROAD,LAKELAND,FL,33810,(863) 255-2941,POLK,35,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=POLK+county+FL+property+search+SOUTHWINDS+MOBILE+HOME+COURT+LAKELAND
SUN FRIENDLY COMMUNITY VILLAGE,2504 SUNSET DRIVE,KISSIMMEE,FL,34741,(407) 574-7775,OSCEOLA,45,LARGE (>100),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=OSCEOLA+county+FL+property+search+SUN+FRIENDLY+COMMUNITY+VILLAGE+KISSIMMEE
SUNNY OAKS MOBILE HOME PARK,6800 NW GAINESVILLE ROAD,OCALA,FL,34475,(855) 862-8837,MARION,55,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=MARION+county+FL+property+search+SUNNY+OAKS+MOBILE+HOME+PARK+OCALA
SUNNY SKIES MOBILE HOME PARK,32704 CANTWELL DRIVE,SAN ANTONIO,FL,33576,(352) 942-3367,PASCO,50,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=PASCO+county+FL+property+search+SUNNY+SKIES+MOBILE+HOME+PARK+SAN+ANTONIO
"SUNNYLAND COURT, INC.",19241 SAN CARLOS BOULEVARD,FORT MYERS BEACH,FL,33931,NOT AVAILABLE,LEE,31,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=LEE+county+FL+property+search+SUNNYLAND+COURT%2C+INC.+FORT+MYERS+BEACH
SUNSET ACRES,8086 HECK DRIVE,NORTH FORT MYERS,FL,33917,(239) 543-9990,LEE,25,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=LEE+county+FL+property+search+SUNSET+ACRES+NORTH+FORT+MYERS
SUNSET COVE MHP,2350 US HIGHWAY 92 WEST,WINTER HAVEN,FL,33881,(863) 268-1111,POLK,31,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=POLK+county+FL+property+search+SUNSET+COVE+MHP+WINTER+HAVEN
SUNSET SHORES CO-OP INC,1000 S CLINCH LAKE BOULEVARD,FROSTPROOF,FL,33843,(863) 635-2420,POLK,51,LARGE (>100),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=POLK+county+FL+property+search+SUNSET+SHORES+CO-OP+INC+FROSTPROOF
SUNSET VILLAGE,2 MELODY CIRCLE,EUSTIS,FL,32726,(352) 343-1214,LAKE,36,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=LAKE+county+FL+property+search+SUNSET+VILLAGE+EUSTIS
TERIO'S MOBILE HOME PARK,3520 E GASKIN ROAD,BARTOW,FL,33830,(863) 533-1253,POLK,40,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=POLK+county+FL+property+search+TERIO%27S+MOBILE+HOME+PARK+BARTOW
THREE PALMS TRAILER PARK,15007 OLD 441 HIGHWAY,TAVARES,FL,32778,NOT AVAILABLE,LAKE,32,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=LAKE+county+FL+property+search+THREE+PALMS+TRAILER+PARK+TAVARES
WILDWOOD ACRES,503 SHAWN AVENUE,WILDWOOD,FL,34785,(352) 748-0795,SUMTER,47,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=SUMTER+county+FL+property+search+WILDWOOD+ACRES+WILDWOOD
WILLOW OAK II MHP,3845 STATE ROAD 60 W,MULBERRY,FL,33860,(863) 425-2281,POLK,26,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=POLK+county+FL+property+search+WILLOW+OAK+II+MHP+MULBERRY
WINTER DREAMS TRAILER PARK,17881 N TAMIAMI TRAIL,NORTH FORT MYERS,FL,33903,(239) 731-5404,LEE,26,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=LEE+county+FL+property+search+WINTER+DREAMS+TRAILER+PARK+NORTH+FORT+MYERS
A & L MOBILE HOME VILLAGE,573 LONG HOLLOW PIKE,GALLATIN,TN,37066,(615) 452-5104,SUMNER,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://assessment.cot.tn.gov/RE_Assessment/
ACRES OF SPACE MOBILE HOME,1105 ACRES OF SPACE DRIVE,KNIGHTDALE,NC,27545,(919) 266-4389,WAKE,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://services.wake.gov/realestate/
AMERICAN MOBILE VILLAGE,1524 EAST BURT DRIVE,COLUMBIA,TN,38401,(931) 388-1485,MAURY,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://assessment.cot.tn.gov/RE_Assessment/
APACHE WEST MOBILE VILLAGE,1035 WEST MAIN STREET,MESA,AZ,85201,(480) 969-7147,MARICOPA,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://mcassessor.maricopa.gov/
BATTLEFIELD TRAILER PARK,650 EDGEWOOD BOULEVARD,FRANKLIN,TN,37064,(615) 794-6416,WILLIAMSON,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://assessment.cot.tn.gov/RE_Assessment/
BELL ACRES MHP,3824 EAST PARADISE LANE,PHOENIX,AZ,85032,(602) 971-2335,MARICOPA,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://mcassessor.maricopa.gov/
BIG COUNTRY MOBILE HOME PARK,4435 US 321,GASTON,SC,29053,NOT AVAILABLE,LEXINGTON,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://lex-co.sc.gov/departments/assessor
BLAIR'S JUNGLE DEN,1820 JUNGLE DEN ROAD,ASTOR,FL,32102,(386) 749-2264,VOLUSIA,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=VOLUSIA+county+FL+property+search+BLAIR%27S+JUNGLE+DEN+ASTOR
BONAPARTE'S RETREAT 1,9013 BONAPARTE DR SW,CALABASH,NC,28467,NOT AVAILABLE,BRUNSWICK,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://tax.brunswickcountync.gov/itsnet/
BONNIE'S TRAILER COURT,2004 HIGHWAY 15,MYRTLE BEACH,SC,29577,(803) 448-6905,HORRY,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://www.horrycountysc.gov/apps/landrecords/
BROADWAY TRAILER COURT,2144 WEST BROADWAY ROAD,PHOENIX,AZ,85041,(602) 268-4738,MARICOPA,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://mcassessor.maricopa.gov/
BURKHART'S MHP,920 POWER STREET,CLARKSVILLE,TN,37042,(931) 647-2926,MONTGOMERY,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://assessment.cot.tn.gov/RE_Assessment/
CAMP VERDE MOBILE VILLAGE,723 WEST FINNEY FLATS ROAD,CAMP VERDE,AZ,86322,(520) 567-2868,YAVAPAI,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://yavapaiaz.gov/departments/assessor
CARDINAL ACRES MOBILE HOME PARK,NOT AVAILABLE,NOT AVAILABLE,NC,NOT AVAILABLE,NOT AVAILABLE,PENDER,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://www.pendercountync.gov/tax/
CEDAR GROVE MHP,3 SWEET GUM CIR,ROCKY POINT,NC,28457,NOT AVAILABLE,PENDER,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://www.pendercountync.gov/tax/
CHATEAU MOBILE HOME VILLAGE,1356 ID 41,POST FALLS,ID,83854,NOT AVAILABLE,KOOTENAI,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://www.kcgov.us/149/Assessor
CHRIS-TOWN TRAVEL TRAILER PARK,1919 WEST COLTER STREET,PHOENIX,AZ,85015,(602) 242-8812,MARICOPA,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://mcassessor.maricopa.gov/
CHUCK'S MHP,780 BETHEL SCHOOL ROAD,LAKE WYLIE,SC,29710,(803) 831-7717,YORK,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://www.yorkcountygov.com/309/Assessor
COOPER'S RANCH,3210 RAY RD,SPRING LAKE,NC,28390,NOT AVAILABLE,HARNETT,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://www.harnett.org/tax/
COUNTRY AIR MHP,2212 WEST GEORGIA ROAD,SIMPSONVILLE,SC,29680,(864) 277-3277,GREENVILLE,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://www.greenvillecounty.org/appsas400/votaxqry/
COUNTRY AIRE VILLAGE,39333 23RD STREET,ZEPHYRHILLS,FL,33542,NOT AVAILABLE,PASCO,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=PASCO+county+FL+property+search+COUNTRY+AIRE+VILLAGE+ZEPHYRHILLS
COUNTRY CLUB MHP,5209 TARGEE STREET,BOISE,ID,83705,(208) 342-1709,ADA,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://adacounty.id.gov/assessor/property-search/
COUNTRY CLUB PARK,1855 WEST WICKENBURG WAY,WICKENBURG,AZ,85390,(520) 684-2110,MARICOPA,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://mcassessor.maricopa.gov/
COUNTRY COUSINS MOBILE MECCA,61 WEST SOUTHERN AVENUE,MESA,AZ,85210,(480) 964-8202,MARICOPA,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://mcassessor.maricopa.gov/
COUNTRY ESTATES MHP,6109 FOOTE MINERAL LANE,KNOXVILLE,TN,37923,(423) 693-8541,KNOX,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://assessment.cot.tn.gov/RE_Assessment/
COUNTRY HILLS MOBILE ESTATES,11901 WEST MCDOWELL ROAD,AVONDALE,AZ,85323,(602) 932-3444,MARICOPA,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://mcassessor.maricopa.gov/
COUNTRY HOME MOBILE VILLAGE,23740 WEST US HIGHWAY 85,BUCKEYE,AZ,85326,(602) 386-4482,MARICOPA,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://mcassessor.maricopa.gov/
COUNTRY LAKES,4410 BAYBERRY DR,LITTLE RIVER,SC,29566,NOT AVAILABLE,HORRY,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://www.horrycountysc.gov/apps/landrecords/
COUNTRY LIVIN' ESTATES,1330 WILLIAMSON ROAD,GOODLETTSVILLE,TN,37072,(615) 859-0569,SUMNER,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://assessment.cot.tn.gov/RE_Assessment/
COUNTRY OAKS ESTATES,9043 DALLAS HOLLOW RD,SODDY-DAISY,TN,37379,NOT AVAILABLE,HAMILTON,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://assessment.cot.tn.gov/RE_Assessment/
COUNTRY VILLA,1105 NORTH 8TH STREET,AVONDALE,AZ,85323,(602) 932-2180,MARICOPA,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://mcassessor.maricopa.gov/
COUNTRY VILLAGE MHP,1339 WALD ROAD,NEW BRAUNFELS,TX,78132,(830) 625-1188,COMAL,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://esearch.comalad.org/
COUNTRY WEST,221 WEST MAIN STREET,AVONDALE,AZ,85323,(602) 932-3325,MARICOPA,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://mcassessor.maricopa.gov/
COUNTRYSIDE VILLAGE,200 EARLY ROAD,COLUMBIA,TN,38401,(931) 388-8412,MAURY,,MEDIUM (51-100),98,,,,,,,,,,,,,needs manual lookup,https://assessment.cot.tn.gov/RE_Assessment/
