NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,COUNTY,UNITS,SIZE,MARKET_SCORE,COUNTY_BONUS,SUBTO_SCORE,CASHFLOW_SCORE,TOTAL_SCORE,TIER,FLAGS
CYPRESS ACRES MHP,8 POWELL ROAD,WINTER HAVEN,FL,33880,(863) 291-0643,MOBILE HOME PARK,POLK,26,SMALL (<50),40,15,30,15,100,A,
DELAND MUNICIPAL TRAILER PARK,140 W WALTS AVENUE,DELAND,FL,32720,(386) 740-5800,MOBILE HOME PARK,VOLUSIA,48,SMALL (<50),40,15,30,15,100,A,
DUKE'S LANDING,04056 PICCIOLA ROAD,FRUITLAND PARK,FL,34731,(813) 770-4172,MOBILE HOME PARK,LAKE,58,SMALL (<50),40,15,30,15,100,A,
EL TONTERIA MOBILE COURT,1520 PARSONS ROAD,KISSIMMEE,FL,34744,(407) 319-2900,MOBILE HOME PARK,OSCEOLA,34,SMALL (<50),40,15,30,15,100,A,
ENGLEWOOD GREENS MOBILE VILLAGE,250 MCCALL ROAD N,ENGLEWOOD,FL,34223,(941) 474-1353,MOBILE HOME PARK,SARASOTA,30,SMALL (<50),40,15,30,15,100,A,
FISHERMAN'S ADULT MOBILE HM PK,4500 PINE ISLAND ROAD NW,MATLACHA,FL,33993,(239) 283-5141,MOBILE HOME PARK,LEE,40,SMALL (<50),40,15,30,15,100,A,
FISHERMAN'S WHARF,05101 EAGLES NEST ROAD,FRUITLAND PARK,FL,34731,(352) 360-0600,MOBILE HOME PARK,LAKE,59,MEDIUM (51-100),40,15,30,15,100,A,
FROSTPROOF MOBILE VILLAGE,375 WEST H STREET,FROSTPROOF,FL,33843,(863) 635-4800,MOBILE HOME PARK,POLK,29,SMALL (<50),40,15,30,15,100,A,
GAR FAIR TRAILER PARK,3103 9TH STREET W,BRADENTON,FL,34205,(941) 815-2844,MOBILE HOME PARK,MANATEE,54,MEDIUM (51-100),40,15,30,15,100,A,
GOLDEN GROVE MHP,1101 GOLDEN PARKWAY,ST CLOUD,FL,34769,(407) 957-7979,MOBILE HOME PARK,OSCEOLA,48,SMALL (<50),40,15,30,15,100,A,
GRAY ACRES,1450 MADELINE AVENUE,DAYTONA BEACH,FL,32119,(386) 760-3823,MOBILE HOME PARK,VOLUSIA,43,SMALL (<50),40,15,30,15,100,A,
GREEN ACRES MOBILE HOME PARK,4331 LAKE BUFFUM ROAD,LAKE WALES,FL,33859,(941) 429-0116,MOBILE HOME PARK,POLK,41,SMALL (<50),40,15,30,15,100,A,
HICKS ROAD TRAILER PARK,10021 LYONS LANE,HUDSON,FL,34669,(727) 992-2684,MOBILE HOME PARK,PASCO,27,SMALL (<50),40,15,30,15,100,A,
KEENE'S ADULT MOBILE HOME PARK,12301 CARL LOOP,DADE CITY,FL,33525,(352) 567-6079,MOBILE HOME PARK,PASCO,37,SMALL (<50),40,15,30,15,100,A,
LAKE DORA TRAILER PARK,120 DORA AVENUE,TAVARES,FL,32778,(970) 884-7150,MOBILE HOME PARK,LAKE,42,SMALL (<50),40,15,30,15,100,A,
LAKESIDE GARDENS,249 LAKESIDE GARDEN CIRCLE,LAKE WALES,FL,33859,(813) 949-4139,MOBILE HOME PARK,POLK,54,SMALL (<50),40,15,30,15,100,A,
"LAND SOUTH COUNTRY VILLAS, LLC",5435 LEWELLYN ROAD,LAKELAND,FL,33810,(863) 255-2941,MOBILE HOME PARK,POLK,45,SMALL (<50),40,15,30,15,100,A,
LAND SOUTH OAK MEADOWS LLC,8535 MATHEWS ROAD,LAKELAND,FL,33801,(863) 859-7942,MOBILE HOME PARK,POLK,52,SMALL (<50),40,15,30,15,100,A,
LUTZ TRAILER PARK,101 INGHAM ROAD,NEW SMYRNA BEACH,FL,32168,NOT AVAILABLE,MOBILE HOME PARK,VOLUSIA,34,SMALL (<50),40,15,30,15,100,A,
MARY ANN TRAILER PARK,3608 14TH STREET W,BRADENTON,FL,34205,(941) 773-4465,MOBILE HOME PARK,MANATEE,38,SMALL (<50),40,15,30,15,100,A,
MERE'S MOBILE HOME PARK 3,1555 N TAMIAMI TRAIL,NORTH FORT MYERS,FL,33903,(239) 707-3469,MOBILE HOME PARK,LEE,33,SMALL (<50),40,15,30,15,100,A,
MINNEHAHA TRAILER PARK,660 HOOK STREET,CLERMONT,FL,34711,(352) 394-4497,MOBILE HOME PARK,LAKE,45,SMALL (<50),40,15,30,15,100,A,
OAK HAVEN MHP,1630 NORTH CR 547,DAVENPORT,FL,33837,(813) 689-0569,MOBILE HOME PARK,POLK,28,SMALL (<50),40,15,30,15,100,A,
OAK LANE MOBILE HOME PARK,14236 MAX HOOKS ROAD 62,CLERMONT,FL,34711,(352) 243-7577,MOBILE HOME PARK,LAKE,60,MEDIUM (51-100),40,15,30,15,100,A,
OAK MEADOWS MH & RV PARK,3655 E JOHNSON AVENUE,HAINES CITY,FL,33844,(813) 267-2672,MOBILE HOME PARK,POLK,53,SMALL (<50),40,15,30,15,100,A,
PINE GROVE MOBILE HOME PARK,18681 N HWY 441,REDDICK,FL,32686,(352) 207-9741,MOBILE HOME PARK,MARION,30,SMALL (<50),40,15,30,15,100,A,
PINE GROVE MOBILE HOME PARK,2245 NEW TAMPA HIGHWAY,LAKELAND,FL,33801,(352) 207-9741,MOBILE HOME PARK,POLK,25,SMALL (<50),40,15,30,15,100,A,
PINE MANOR EAST MOBILE HOME PARK,2815 NW PINE AVENUE,OCALA,FL,34475,(352) 463-1890,MOBILE HOME PARK,MARION,52,MEDIUM (51-100),40,15,30,15,100,A,
PINE NEEDLE PARK,6280 HAMILTON DRIVE 3,FORT MYERS,FL,33905,(239) 694-3286,MOBILE HOME PARK,LEE,43,SMALL (<50),40,15,30,15,100,A,
PIONEER TRAILER PARK,1615 51ST AVENUE E,BRADENTON,FL,34203,(727) 386-6479,MOBILE HOME PARK,MANATEE,37,SMALL (<50),40,15,30,15,100,A,
REEDY HAVEN TRAILER PARK,285 LAKE AVENUE,FROSTPROOF,FL,33843,(863) 635-4783,MOBILE HOME PARK,POLK,36,SMALL (<50),40,15,30,15,100,A,
SHADY ACRES MHP AND RV PARK,14417 US HIGHWAY 19,BAYONET POINT,FL,34667,(727) 868-9589,MOBILE HOME PARK,PASCO,48,MEDIUM (51-100),40,15,30,15,100,A,
SHADY ACRES MOBILE HOME PARK,16901 SE HWY 301,SUMMERFIELD,FL,34491,(352) 445-1832,MOBILE HOME PARK,MARION,40,SMALL (<50),40,15,30,15,100,A,
SHADY GROVE MOBILE HOME PARK,5100 NW GAINESVILLE ROAD,OCALA,FL,34475,(352) 208-4814,MOBILE HOME PARK,MARION,28,SMALL (<50),40,15,30,15,100,A,
SHADY OAKS MOBILE HOME PARK,1215 US HIGHWAY 17 92 N,DAVENPORT,FL,33837,NOT AVAILABLE,MOBILE HOME PARK,POLK,30,SMALL (<50),40,15,30,15,100,A,
SHADY OAKS MOBILE HOME PARK,3245 E MAIN STREET,LAKELAND,FL,33801,NOT AVAILABLE,MOBILE HOME PARK,POLK,30,SMALL (<50),40,15,30,15,100,A,
SHADY REST MOBILE HOME PARK,37836 8TH AVENUE,ZEPHYRHILLS,FL,33542,(813) 782-3019,MOBILE HOME PARK,PASCO,60,SMALL (<50),40,15,30,15,100,A,
SHADY VILLAGE TRAILER PARK,3200 NOVA ROAD S,DAYTONA BEACH,FL,32119,(386) 760-3823,MOBILE HOME PARK,VOLUSIA,55,MEDIUM (51-100),40,15,30,15,100,A,
SILVERWOOD VILLAGE M H P,201 NE 68 COURT,OCALA,FL,34470,(352) 236-3378,MOBILE HOME PARK,MARION,25,SMALL (<50),40,15,30,15,100,A,
SOUTHWIND VILLAGE,1269 RIVER ROAD,NORTH FORT MYERS,FL,33903,(239) 995-8005,MOBILE HOME PARK,LEE,58,MEDIUM (51-100),40,15,30,15,100,A,
SOUTHWINDS MOBILE HOME COURT,1425 RITTER ROAD,LAKELAND,FL,33810,(863) 255-2941,MOBILE HOME PARK,POLK,35,SMALL (<50),40,15,30,15,100,A,
SUN FRIENDLY COMMUNITY VILLAGE,2504 SUNSET DRIVE,KISSIMMEE,FL,34741,(407) 574-7775,MOBILE HOME PARK,OSCEOLA,45,LARGE (>100),40,15,30,15,100,A,
SUNNY OAKS MOBILE HOME PARK,6800 NW GAINESVILLE ROAD,OCALA,FL,34475,(855) 862-8837,MOBILE HOME PARK,MARION,55,SMALL (<50),40,15,30,15,100,A,
SUNNY SKIES MOBILE HOME PARK,32704 CANTWELL DRIVE,SAN ANTONIO,FL,33576,(352) 942-3367,MOBILE HOME PARK,PASCO,50,SMALL (<50),40,15,30,15,100,A,
"SUNNYLAND COURT, INC.",19241 SAN CARLOS BOULEVARD,FORT MYERS BEACH,FL,33931,NOT AVAILABLE,MOBILE HOME PARK,LEE,31,SMALL (<50),40,15,30,15,100,A,
SUNSET ACRES,8086 HECK DRIVE,NORTH FORT MYERS,FL,33917,(239) 543-9990,MOBILE HOME PARK,LEE,25,SMALL (<50),40,15,30,15,100,A,
SUNSET COVE MHP,2350 US HIGHWAY 92 WEST,WINTER HAVEN,FL,33881,(863) 268-1111,MOBILE HOME PARK,POLK,31,SMALL (<50),40,15,30,15,100,A,
SUNSET SHORES CO-OP INC,1000 S CLINCH LAKE BOULEVARD,FROSTPROOF,FL,33843,(863) 635-2420,MOBILE HOME PARK,POLK,51,LARGE (>100),40,15,30,15,100,A,
SUNSET VILLAGE,2 MELODY CIRCLE,EUSTIS,FL,32726,(352) 343-1214,MOBILE HOME PARK,LAKE,36,SMALL (<50),40,15,30,15,100,A,
TERIO'S MOBILE HOME PARK,3520 E GASKIN ROAD,BARTOW,FL,33830,(863) 533-1253,MOBILE HOME PARK,POLK,40,SMALL (<50),40,15,30,15,100,A,
THREE PALMS TRAILER PARK,15007 OLD 441 HIGHWAY,TAVARES,FL,32778,NOT AVAILABLE,MOBILE HOME PARK,LAKE,32,SMALL (<50),40,15,30,15,100,A,
WILDWOOD ACRES,503 SHAWN AVENUE,WILDWOOD,FL,34785,(352) 748-0795,MOBILE HOME PARK,SUMTER,47,SMALL (<50),40,15,30,15,100,A,
WILLOW OAK II MHP,3845 STATE ROAD 60 W,MULBERRY,FL,33860,(863) 425-2281,MOBILE HOME PARK,POLK,26,SMALL (<50),40,15,30,15,100,A,
WINTER DREAMS TRAILER PARK,17881 N TAMIAMI TRAIL,NORTH FORT MYERS,FL,33903,(239) 731-5404,MOBILE HOME PARK,LEE,26,SMALL (<50),40,15,30,15,100,A,
A & L MOBILE HOME VILLAGE,573 LONG HOLLOW PIKE,GALLATIN,TN,37066,(615) 452-5104,MOBILE HOME PARK,SUMNER,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
ACRES OF SPACE MOBILE HOME,1105 ACRES OF SPACE DRIVE,KNIGHTDALE,NC,27545,(919) 266-4389,MOBILE HOME PARK,WAKE,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
AMERICAN MOBILE VILLAGE,1524 EAST BURT DRIVE,COLUMBIA,TN,38401,(931) 388-1485,MOBILE HOME PARK,MAURY,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
APACHE WEST MOBILE VILLAGE,1035 WEST MAIN STREET,MESA,AZ,85201,(480) 969-7147,MOBILE HOME PARK,MARICOPA,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
BATTLEFIELD TRAILER PARK,650 EDGEWOOD BOULEVARD,FRANKLIN,TN,37064,(615) 794-6416,MOBILE HOME PARK,WILLIAMSON,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
BELL ACRES MHP,3824 EAST PARADISE LANE,PHOENIX,AZ,85032,(602) 971-2335,MOBILE HOME PARK,MARICOPA,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
BIG COUNTRY MOBILE HOME PARK,4435 US 321,GASTON,SC,29053,NOT AVAILABLE,MOBILE HOME PARK,LEXINGTON,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
BLAIR'S JUNGLE DEN,1820 JUNGLE DEN ROAD,ASTOR,FL,32102,(386) 749-2264,MOBILE HOME PARK,VOLUSIA,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
BONAPARTE'S RETREAT 1,9013 BONAPARTE DR SW,CALABASH,NC,28467,NOT AVAILABLE,MOBILE HOME PARK,BRUNSWICK,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
BONNIE'S TRAILER COURT,2004 HIGHWAY 15,MYRTLE BEACH,SC,29577,(803) 448-6905,MOBILE HOME PARK,HORRY,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
BROADWAY TRAILER COURT,2144 WEST BROADWAY ROAD,PHOENIX,AZ,85041,(602) 268-4738,MOBILE HOME PARK,MARICOPA,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
BURKHART'S MHP,920 POWER STREET,CLARKSVILLE,TN,37042,(931) 647-2926,MOBILE HOME PARK,MONTGOMERY,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
CAMP VERDE MOBILE VILLAGE,723 WEST FINNEY FLATS ROAD,CAMP VERDE,AZ,86322,(520) 567-2868,MOBILE HOME PARK,YAVAPAI,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
CARDINAL ACRES MOBILE HOME PARK,NOT AVAILABLE,NOT AVAILABLE,NC,NOT AVAILABLE,NOT AVAILABLE,MOBILE HOME PARK,PENDER,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
CEDAR GROVE MHP,3 SWEET GUM CIR,ROCKY POINT,NC,28457,NOT AVAILABLE,MOBILE HOME PARK,PENDER,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
CHATEAU MOBILE HOME VILLAGE,1356 ID 41,POST FALLS,ID,83854,NOT AVAILABLE,MOBILE HOME PARK,KOOTENAI,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
CHRIS-TOWN TRAVEL TRAILER PARK,1919 WEST COLTER STREET,PHOENIX,AZ,85015,(602) 242-8812,MOBILE HOME PARK,MARICOPA,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
CHUCK'S MHP,780 BETHEL SCHOOL ROAD,LAKE WYLIE,SC,29710,(803) 831-7717,MOBILE HOME PARK,YORK,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
COOPER'S RANCH,3210 RAY RD,SPRING LAKE,NC,28390,NOT AVAILABLE,MOBILE HOME PARK,HARNETT,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
COUNTRY AIR MHP,2212 WEST GEORGIA ROAD,SIMPSONVILLE,SC,29680,(864) 277-3277,MOBILE HOME PARK,GREENVILLE,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
COUNTRY AIRE VILLAGE,39333 23RD STREET,ZEPHYRHILLS,FL,33542,NOT AVAILABLE,MOBILE HOME PARK,PASCO,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
COUNTRY CLUB MHP,5209 TARGEE STREET,BOISE,ID,83705,(208) 342-1709,MOBILE HOME PARK,ADA,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
COUNTRY CLUB PARK,1855 WEST WICKENBURG WAY,WICKENBURG,AZ,85390,(520) 684-2110,MOBILE HOME PARK,MARICOPA,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
COUNTRY COUSINS MOBILE MECCA,61 WEST SOUTHERN AVENUE,MESA,AZ,85210,(480) 964-8202,MOBILE HOME PARK,MARICOPA,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
COUNTRY ESTATES MHP,6109 FOOTE MINERAL LANE,KNOXVILLE,TN,37923,(423) 693-8541,MOBILE HOME PARK,KNOX,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
COUNTRY HILLS MOBILE ESTATES,11901 WEST MCDOWELL ROAD,AVONDALE,AZ,85323,(602) 932-3444,MOBILE HOME PARK,MARICOPA,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
COUNTRY HOME MOBILE VILLAGE,23740 WEST US HIGHWAY 85,BUCKEYE,AZ,85326,(602) 386-4482,MOBILE HOME PARK,MARICOPA,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
COUNTRY LAKES,4410 BAYBERRY DR,LITTLE RIVER,SC,29566,NOT AVAILABLE,MOBILE HOME PARK,HORRY,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
COUNTRY LIVIN' ESTATES,1330 WILLIAMSON ROAD,GOODLETTSVILLE,TN,37072,(615) 859-0569,MOBILE HOME PARK,SUMNER,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
COUNTRY OAKS ESTATES,9043 DALLAS HOLLOW RD,SODDY-DAISY,TN,37379,NOT AVAILABLE,MOBILE HOME PARK,HAMILTON,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
COUNTRY VILLA,1105 NORTH 8TH STREET,AVONDALE,AZ,85323,(602) 932-2180,MOBILE HOME PARK,MARICOPA,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
COUNTRY VILLAGE MHP,1339 WALD ROAD,NEW BRAUNFELS,TX,78132,(830) 625-1188,MOBILE HOME PARK,COMAL,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
COUNTRY WEST,221 WEST MAIN STREET,AVONDALE,AZ,85323,(602) 932-3325,MOBILE HOME PARK,MARICOPA,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
COUNTRYSIDE VILLAGE,200 EARLY ROAD,COLUMBIA,TN,38401,(931) 388-8412,MOBILE HOME PARK,MAURY,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
COURTSIDE VILLAGE OF GWINNETT,1125 HORIZON PKWY,BUFORD,GA,30518,NOT AVAILABLE,MOBILE HOME PARK,GWINNETT,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
COZY TRAILER PARK,520 GENTRY WAY,RENO,NV,89502,(775) 825-0337,MOBILE HOME PARK,WASHOE,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
CREEKSIDE MHP,1420 OLD DUNBAR ROAD,WEST COLUMBIA,SC,29172,(803) 955-0805,MOBILE HOME PARK,LEXINGTON,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
CREEKSIDE MOBILE VILLAGE,4258 MASSEY PRESERVE TRL,RALEIGH,NC,27616,NOT AVAILABLE,MOBILE HOME PARK,WAKE,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
DEER PARK TRAILER COURT,8810 DEERWOOD DRIVE,NORTH CHARLESTON,SC,29406,(843) 553-0883,MOBILE HOME PARK,CHARLESTON,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
DESERT VILLAGE MOBILE PARK,139 SOUTH CRISMON ROAD,MESA,AZ,85208,(480) 986-4070,MOBILE HOME PARK,MARICOPA,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
EASTERN SHORE MOBILE HOME VILLAGE,19270 SOUTH GREENO ROAD,FAIRHOPE,AL,36532,(334) 928-7855,MOBILE HOME PARK,BALDWIN,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
ELMWOOD TRAILER PARK,764 EAST CHANDLER BOULEVARD,CHANDLER,AZ,85225,(602) 963-8861,MOBILE HOME PARK,MARICOPA,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
FIELDRIDGE ACRES,7800 WILKINSON BOULEVARD,CHARLOTTE,NC,28214,(704) 399-3521,MOBILE HOME PARK,MECKLENBURG,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
FOX FIRE VILLAGE MOBILE HOME,1101 2ND AVENUE NORTH,NORTH MYRTLE BEACH,SC,29582,(803) 249-4286,MOBILE HOME PARK,HORRY,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
GOOD SAMARITAN VILLAGE,4199 WALES ST,KISSIMMEE,FL,34746,NOT AVAILABLE,MOBILE HOME PARK,OSCEOLA,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
GRANITE ACRES,NOT AVAILABLE,NOT AVAILABLE,NC,NOT AVAILABLE,(919) 457-1550,MOBILE HOME PARK,WAKE,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
GREEN ACRES,819 N MIDLAND BLVD,NAMPA,ID,83651,NOT AVAILABLE,MOBILE HOME PARK,CANYON,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
GREEN ACRES MHP,360 WEST 400 NORTH,SPRINGVILLE,UT,84663,(801) 489-6755,MOBILE HOME PARK,UTAH,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
GREEN ACRES MHP,7204 LARKSPUR LANE,POWELL,TN,37849,(423) 938-4736,MOBILE HOME PARK,KNOX,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
GREEN ACRES MOBILE & REC. VEHICLE PARK,2605 WEST VAN BUREN STREET,PHOENIX,AZ,85009,(602) 272-7863,MOBILE HOME PARK,MARICOPA,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
GREEN ACRES TRAILER PARK,501 WEST MOANA LANE,RENO,NV,89509,(775) 827-2482,MOBILE HOME PARK,WASHOE,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
HENDERSONVILLE MOBILE VILLAGE,311 OLD SHACKLE ISLAND ROAD #47,HENDERSONVILLE,TN,37075,(615) 824-1811,MOBILE HOME PARK,SUMNER,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
JOPA TRAILER PARK,2006 PRATER WAY,SPARKS,NV,89431,(775) 358-4155,MOBILE HOME PARK,WASHOE,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
KING'S MOBILE ESTATES,19 KINGS MOBILE HOMES,OPELIKA,AL,36801,(334) 749-3320,MOBILE HOME PARK,LEE,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
KIRKLEY'S MOBILE HOME COURT,2206 HIGHWAY 15,MYRTLE BEACH,SC,29577,(803) 448-2601,MOBILE HOME PARK,HORRY,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
LAKESIDE VILLAGE,30 GIEL DRIVE,DELAND,FL,32720,(386) 734-1574,MOBILE HOME PARK,VOLUSIA,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
LAMPLIGHTER VILLAGE HOME,7800 BONDHAVEN DRIVE,CHARLOTTE,NC,28215,(704) 568-0643,MOBILE HOME PARK,MECKLENBURG,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
MALLARD POINT TRAILER COURT,22260 HIGHWAY 98,FOLEY,AL,36535,(334) 943-2038,MOBILE HOME PARK,BALDWIN,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
MAPLE CREEK ESTATES,903 S MAIN ST,GREER,SC,29650,NOT AVAILABLE,MOBILE HOME PARK,GREENVILLE,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
MAPLE MANOR,312 MAPLE STREET,SMYRNA,TN,37167,(615) 459-0090,MOBILE HOME PARK,RUTHERFORD,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
MEADOWS TRAILER PARK,1286 SOUTH MOJAVE ROAD,LAS VEGAS,NV,89104,(702) 457-2090,MOBILE HOME PARK,CLARK,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
MICHIGAN TRAILER PARK,3140 WEST OSBORN ROAD,PHOENIX,AZ,85017,(602) 269-0122,MOBILE HOME PARK,MARICOPA,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
MIDWAY TRAILER PARK,1833 STACEY STREET,MYRTLE BEACH,SC,29577,(803) 293-2756,MOBILE HOME PARK,HORRY,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
MIDWAY TRAILER PARK,1800 WARD DR,HENDERSON,NV,89011,NOT AVAILABLE,MOBILE HOME PARK,CLARK,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
MIMOSA TRAILER PARK,8783 DAYTON PIKE,SODDY-DAISY,TN,37379,(423) 332-2323,MOBILE HOME PARK,HAMILTON,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
MOORE'S MHP,701 ELM STREET,BOULDER CITY,NV,89005,(702) 293-2537,MOBILE HOME PARK,CLARK,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
NEW PROVIDENCE & SHADY REST,708 PROVIDENCE BOULEVARD,CLARKSVILLE,TN,37042,(931) 647-2389,MOBILE HOME PARK,MONTGOMERY,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
OAK BEND VILLAGE MOBILE HOME PARK,21271 W HWY 40,DUNNELLON,FL,34431,(352) 465-0877,MOBILE HOME PARK,MARION,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
OAK GROVE 2,44 DIXIE CIR,GREENVILLE,SC,29605,NOT AVAILABLE,MOBILE HOME PARK,GREENVILLE,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
OAK HILL MHP,3909 FORT WORTH HIGHWAY,WEATHERFORD,TX,76087,(817) 613-9090,MOBILE HOME PARK,PARKER,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
OLD FARM MOBILE HOME VILLAGE,236 LANDMARK ROAD,CONWAY,SC,29527,(803) 365-1755,MOBILE HOME PARK,HORRY,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
OLEANDER COURT MHP,10035 COUNTY ROAD 83,ELBERTA,AL,36530,(334) 986-5791,MOBILE HOME PARK,BALDWIN,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
OTRANTO ACRES MHP,2908 OTRANTO ROAD,NORTH CHARLESTON,SC,29406,(843) 797-3542,MOBILE HOME PARK,CHARLESTON,,MEDIUM (51-100),40,15,28,15,98,A,unit count unknown
