PropertyAddress,PropertyCity,PropertyState,PropertyZip,ParkName,ParkPhone,County,Lots,SizeBand,Score,Notes
920 POWER STREET,CLARKSVILLE,TN,37042,BURKHART'S MHP,(931) 647-2926,MONTGOMERY,,MEDIUM (51-100),98,unit count unknown
723 WEST FINNEY FLATS ROAD,CAMP VERDE,AZ,86322,CAMP VERDE MOBILE VILLAGE,(520) 567-2868,YAVAPAI,,MEDIUM (51-100),98,unit count unknown
3 SWEET GUM CIR,ROCKY POINT,NC,28457,CEDAR GROVE MHP,NOT AVAILABLE,PENDER,,MEDIUM (51-100),98,unit count unknown
1356 ID 41,POST FALLS,ID,83854,CHATEAU MOBILE HOME VILLAGE,NOT AVAILABLE,KOOTENAI,,MEDIUM (51-100),98,unit count unknown
1919 WEST COLTER STREET,PHOENIX,AZ,85015,CHRIS-TOWN TRAVEL TRAILER PARK,(602) 242-8812,MARICOPA,,MEDIUM (51-100),98,unit count unknown
780 BETHEL SCHOOL ROAD,LAKE WYLIE,SC,29710,CHUCK'S MHP,(803) 831-7717,YORK,,MEDIUM (51-100),98,unit count unknown
3210 RAY RD,SPRING LAKE,NC,28390,COOPER'S RANCH,NOT AVAILABLE,HARNETT,,MEDIUM (51-100),98,unit count unknown
2212 WEST GEORGIA ROAD,SIMPSONVILLE,SC,29680,COUNTRY AIR MHP,(864) 277-3277,GREENVILLE,,MEDIUM (51-100),98,unit count unknown
39333 23RD STREET,ZEPHYRHILLS,FL,33542,COUNTRY AIRE VILLAGE,NOT AVAILABLE,PASCO,,MEDIUM (51-100),98,unit count unknown
5209 TARGEE STREET,BOISE,ID,83705,COUNTRY CLUB MHP,(208) 342-1709,ADA,,MEDIUM (51-100),98,unit count unknown
1855 WEST WICKENBURG WAY,WICKENBURG,AZ,85390,COUNTRY CLUB PARK,(520) 684-2110,MARICOPA,,MEDIUM (51-100),98,unit count unknown
61 WEST SOUTHERN AVENUE,MESA,AZ,85210,COUNTRY COUSINS MOBILE MECCA,(480) 964-8202,MARICOPA,,MEDIUM (51-100),98,unit count unknown
6109 FOOTE MINERAL LANE,KNOXVILLE,TN,37923,COUNTRY ESTATES MHP,(423) 693-8541,KNOX,,MEDIUM (51-100),98,unit count unknown
11901 WEST MCDOWELL ROAD,AVONDALE,AZ,85323,COUNTRY HILLS MOBILE ESTATES,(602) 932-3444,MARICOPA,,MEDIUM (51-100),98,unit count unknown
23740 WEST US HIGHWAY 85,BUCKEYE,AZ,85326,COUNTRY HOME MOBILE VILLAGE,(602) 386-4482,MARICOPA,,MEDIUM (51-100),98,unit count unknown
4410 BAYBERRY DR,LITTLE RIVER,SC,29566,COUNTRY LAKES,NOT AVAILABLE,HORRY,,MEDIUM (51-100),98,unit count unknown
1330 WILLIAMSON ROAD,GOODLETTSVILLE,TN,37072,COUNTRY LIVIN' ESTATES,(615) 859-0569,SUMNER,,MEDIUM (51-100),98,unit count unknown
9043 DALLAS HOLLOW RD,SODDY-DAISY,TN,37379,COUNTRY OAKS ESTATES,NOT AVAILABLE,HAMILTON,,MEDIUM (51-100),98,unit count unknown
1105 NORTH 8TH STREET,AVONDALE,AZ,85323,COUNTRY VILLA,(602) 932-2180,MARICOPA,,MEDIUM (51-100),98,unit count unknown
1339 WALD ROAD,NEW BRAUNFELS,TX,78132,COUNTRY VILLAGE MHP,(830) 625-1188,COMAL,,MEDIUM (51-100),98,unit count unknown
221 WEST MAIN STREET,AVONDALE,AZ,85323,COUNTRY WEST,(602) 932-3325,MARICOPA,,MEDIUM (51-100),98,unit count unknown
200 EARLY ROAD,COLUMBIA,TN,38401,COUNTRYSIDE VILLAGE,(931) 388-8412,MAURY,,MEDIUM (51-100),98,unit count unknown
1125 HORIZON PKWY,BUFORD,GA,30518,COURTSIDE VILLAGE OF GWINNETT,NOT AVAILABLE,GWINNETT,,MEDIUM (51-100),98,unit count unknown
520 GENTRY WAY,RENO,NV,89502,COZY TRAILER PARK,(775) 825-0337,WASHOE,,MEDIUM (51-100),98,unit count unknown
1420 OLD DUNBAR ROAD,WEST COLUMBIA,SC,29172,CREEKSIDE MHP,(803) 955-0805,LEXINGTON,,MEDIUM (51-100),98,unit count unknown
4258 MASSEY PRESERVE TRL,RALEIGH,NC,27616,CREEKSIDE MOBILE VILLAGE,NOT AVAILABLE,WAKE,,MEDIUM (51-100),98,unit count unknown
8810 DEERWOOD DRIVE,NORTH CHARLESTON,SC,29406,DEER PARK TRAILER COURT,(843) 553-0883,CHARLESTON,,MEDIUM (51-100),98,unit count unknown
139 SOUTH CRISMON ROAD,MESA,AZ,85208,DESERT VILLAGE MOBILE PARK,(480) 986-4070,MARICOPA,,MEDIUM (51-100),98,unit count unknown
19270 SOUTH GREENO ROAD,FAIRHOPE,AL,36532,EASTERN SHORE MOBILE HOME VILLAGE,(334) 928-7855,BALDWIN,,MEDIUM (51-100),98,unit count unknown
764 EAST CHANDLER BOULEVARD,CHANDLER,AZ,85225,ELMWOOD TRAILER PARK,(602) 963-8861,MARICOPA,,MEDIUM (51-100),98,unit count unknown
7800 WILKINSON BOULEVARD,CHARLOTTE,NC,28214,FIELDRIDGE ACRES,(704) 399-3521,MECKLENBURG,,MEDIUM (51-100),98,unit count unknown
1101 2ND AVENUE NORTH,NORTH MYRTLE BEACH,SC,29582,FOX FIRE VILLAGE MOBILE HOME,(803) 249-4286,HORRY,,MEDIUM (51-100),98,unit count unknown
4199 WALES ST,KISSIMMEE,FL,34746,GOOD SAMARITAN VILLAGE,NOT AVAILABLE,OSCEOLA,,MEDIUM (51-100),98,unit count unknown
819 N MIDLAND BLVD,NAMPA,ID,83651,GREEN ACRES,NOT AVAILABLE,CANYON,,MEDIUM (51-100),98,unit count unknown
360 WEST 400 NORTH,SPRINGVILLE,UT,84663,GREEN ACRES MHP,(801) 489-6755,UTAH,,MEDIUM (51-100),98,unit count unknown
7204 LARKSPUR LANE,POWELL,TN,37849,GREEN ACRES MHP,(423) 938-4736,KNOX,,MEDIUM (51-100),98,unit count unknown
2605 WEST VAN BUREN STREET,PHOENIX,AZ,85009,GREEN ACRES MOBILE & REC. VEHICLE PARK,(602) 272-7863,MARICOPA,,MEDIUM (51-100),98,unit count unknown
501 WEST MOANA LANE,RENO,NV,89509,GREEN ACRES TRAILER PARK,(775) 827-2482,WASHOE,,MEDIUM (51-100),98,unit count unknown
311 OLD SHACKLE ISLAND ROAD #47,HENDERSONVILLE,TN,37075,HENDERSONVILLE MOBILE VILLAGE,(615) 824-1811,SUMNER,,MEDIUM (51-100),98,unit count unknown
2006 PRATER WAY,SPARKS,NV,89431,JOPA TRAILER PARK,(775) 358-4155,WASHOE,,MEDIUM (51-100),98,unit count unknown
19 KINGS MOBILE HOMES,OPELIKA,AL,36801,KING'S MOBILE ESTATES,(334) 749-3320,LEE,,MEDIUM (51-100),98,unit count unknown
2206 HIGHWAY 15,MYRTLE BEACH,SC,29577,KIRKLEY'S MOBILE HOME COURT,(803) 448-2601,HORRY,,MEDIUM (51-100),98,unit count unknown
30 GIEL DRIVE,DELAND,FL,32720,LAKESIDE VILLAGE,(386) 734-1574,VOLUSIA,,MEDIUM (51-100),98,unit count unknown
7800 BONDHAVEN DRIVE,CHARLOTTE,NC,28215,LAMPLIGHTER VILLAGE HOME,(704) 568-0643,MECKLENBURG,,MEDIUM (51-100),98,unit count unknown
22260 HIGHWAY 98,FOLEY,AL,36535,MALLARD POINT TRAILER COURT,(334) 943-2038,BALDWIN,,MEDIUM (51-100),98,unit count unknown
903 S MAIN ST,GREER,SC,29650,MAPLE CREEK ESTATES,NOT AVAILABLE,GREENVILLE,,MEDIUM (51-100),98,unit count unknown
312 MAPLE STREET,SMYRNA,TN,37167,MAPLE MANOR,(615) 459-0090,RUTHERFORD,,MEDIUM (51-100),98,unit count unknown
1286 SOUTH MOJAVE ROAD,LAS VEGAS,NV,89104,MEADOWS TRAILER PARK,(702) 457-2090,CLARK,,MEDIUM (51-100),98,unit count unknown
3140 WEST OSBORN ROAD,PHOENIX,AZ,85017,MICHIGAN TRAILER PARK,(602) 269-0122,MARICOPA,,MEDIUM (51-100),98,unit count unknown
1833 STACEY STREET,MYRTLE BEACH,SC,29577,MIDWAY TRAILER PARK,(803) 293-2756,HORRY,,MEDIUM (51-100),98,unit count unknown
1800 WARD DR,HENDERSON,NV,89011,MIDWAY TRAILER PARK,NOT AVAILABLE,CLARK,,MEDIUM (51-100),98,unit count unknown
8783 DAYTON PIKE,SODDY-DAISY,TN,37379,MIMOSA TRAILER PARK,(423) 332-2323,HAMILTON,,MEDIUM (51-100),98,unit count unknown
701 ELM STREET,BOULDER CITY,NV,89005,MOORE'S MHP,(702) 293-2537,CLARK,,MEDIUM (51-100),98,unit count unknown
708 PROVIDENCE BOULEVARD,CLARKSVILLE,TN,37042,NEW PROVIDENCE & SHADY REST,(931) 647-2389,MONTGOMERY,,MEDIUM (51-100),98,unit count unknown
21271 W HWY 40,DUNNELLON,FL,34431,OAK BEND VILLAGE MOBILE HOME PARK,(352) 465-0877,MARION,,MEDIUM (51-100),98,unit count unknown
44 DIXIE CIR,GREENVILLE,SC,29605,OAK GROVE 2,NOT AVAILABLE,GREENVILLE,,MEDIUM (51-100),98,unit count unknown
3909 FORT WORTH HIGHWAY,WEATHERFORD,TX,76087,OAK HILL MHP,(817) 613-9090,PARKER,,MEDIUM (51-100),98,unit count unknown
236 LANDMARK ROAD,CONWAY,SC,29527,OLD FARM MOBILE HOME VILLAGE,(803) 365-1755,HORRY,,MEDIUM (51-100),98,unit count unknown
10035 COUNTY ROAD 83,ELBERTA,AL,36530,OLEANDER COURT MHP,(334) 986-5791,BALDWIN,,MEDIUM (51-100),98,unit count unknown
2908 OTRANTO ROAD,NORTH CHARLESTON,SC,29406,OTRANTO ACRES MHP,(843) 797-3542,CHARLESTON,,MEDIUM (51-100),98,unit count unknown
550 PALM DRIVE,WICKENBURG,AZ,85390,PALM DRIVE TRAILER RANCH,(520) 684-2376,MARICOPA,,MEDIUM (51-100),98,unit count unknown
2000 HIGHWAY 15,MYRTLE BEACH,SC,29577,PATRICK'S MHP,(803) 448-6369,HORRY,,MEDIUM (51-100),98,unit count unknown
1475 PEACHTREE INDUSTRIAL BOULEVARD,BUFORD,GA,30518,PEACHTREE VILLAGE MOBILE HOME,(770) 932-8451,GWINNETT,,MEDIUM (51-100),98,unit count unknown
6 PECAN ACRES MHP,MIDLOTHIAN,TX,76065,PECAN ACRES MOBILE HOME PARK,NOT AVAILABLE,ELLIS,,MEDIUM (51-100),98,unit count unknown
88 OAK HILL DR,JOSHUA,TX,76058,PECAN VILLAGE MOBILE HOME PARK,NOT AVAILABLE,JOHNSON,,MEDIUM (51-100),98,unit count unknown
5217 RUSH ROAD,CONWAY,SC,29526,PINE GROVE ESTATES,(803) 365-3335,HORRY,,MEDIUM (51-100),98,unit count unknown
35 SUNRISE AVENUE,STOCKBRIDGE,GA,30281,PINE HILLS MHP,(770) 474-1870,HENRY,,MEDIUM (51-100),98,unit count unknown
610 BRICK LANDING RD SW,SHALLOTTE,NC,28470,PINE LAKE VILLAGE,NOT AVAILABLE,BRUNSWICK,,MEDIUM (51-100),98,unit count unknown
910 WEST GURLEY STREET,PRESCOTT,AZ,86301,PINE LAWN RANCH MHP,(520) 445-3924,YAVAPAI,,MEDIUM (51-100),98,unit count unknown
3060 US 70,SMITHFIELD,NC,27577,PINE VALLEY ESTATES,NOT AVAILABLE,JOHNSTON,,MEDIUM (51-100),98,unit count unknown
510 PINE HILL CIRCLE,LAWRENCEVILLE,GA,30045,PINE VALLEY MHP,(770) 963-6464,GWINNETT,,MEDIUM (51-100),98,unit count unknown
3100 ROBERTS ROAD,KNOXVILLE,TN,37924,PLANTATION ACRES MOBILE HOME,(423) 933-5715,KNOX,,MEDIUM (51-100),98,unit count unknown
34 CLUB CIRCLE,ELLENWOOD,GA,30294,POOLE'S MANOR MFD. HOUSING,(770) 474-2840,HENRY,,MEDIUM (51-100),98,unit count unknown
124 CARNIVAL STREET,CHARLOTTE,NC,28262,QUEEN'S GRANT MHP,(704) 593-0020,MECKLENBURG,,MEDIUM (51-100),98,unit count unknown
1911 AUGUSTA HIGHWAY,WEST COLUMBIA,SC,29169,RED OAK MHP,(803) 791-9090,LEXINGTON,,MEDIUM (51-100),98,unit count unknown
110 RIVEREDGE DRIVE,RICHMOND,TX,77469,RICHMOND TRAILER VILLAGE,(281) 342-4907,FORT BEND,,MEDIUM (51-100),98,unit count unknown
479 SOUTH MOAPA VALLEY BOULEVARD,OVERTON,NV,89040,ROBBINS NEST MOBILE VILLAGE,(775) 397-2364,CLARK,,MEDIUM (51-100),98,unit count unknown
1048 NORTH 48TH STREET,PHOENIX,AZ,85008,ROSEDALE MOBILE HOME COURT,(602) 220-4596,MARICOPA,,MEDIUM (51-100),98,unit count unknown
15500 HART ROAD,NORTH FORT MYERS,FL,33917,ROYAL COACH VILLAGE,(239) 770-2149,LEE,,MEDIUM (51-100),98,unit count unknown
342 SOUTH 40TH STREET,MESA,AZ,85206,ROYAL PALM VILLAGE,(480) 830-4736,MARICOPA,,MEDIUM (51-100),98,unit count unknown
718 TAMIAMI TRAIL S,OSPREY,FL,34229,SARABAY TRAILER COURT,(941) 966-7602,SARASOTA,,MEDIUM (51-100),98,unit count unknown
120 WEST STATE ROAD,AMERICAN FORK,UT,84003,SEVEN C'S MHP,(801) 756-3996,UTAH,,MEDIUM (51-100),98,unit count unknown
800 GENTRY WAY,RENO,NV,89502,SHADE TREE VILLAGE,(775) 825-8787,WASHOE,,MEDIUM (51-100),98,unit count unknown
1305 ADAMS STREET,PRESCOTT,AZ,86301,SHADY ACRES MOBILE PARK,(520) 445-3320,YAVAPAI,,MEDIUM (51-100),98,unit count unknown
613 5TH AVENUE SOUTH,MYRTLE BEACH,SC,29577,SHADY GROVE MHP,(803) 448-7243,HORRY,,MEDIUM (51-100),98,unit count unknown
349 SHADY GROVE RD,SPRING LAKE,NC,28390,SHADY GROVE MHP,NOT AVAILABLE,HARNETT,,MEDIUM (51-100),98,unit count unknown
2436 NORTH AUSTIN STREET,SEGUIN,TX,78155,SHADY LANE MOBILE HOME & REC. VEHICLE,(830) 303-4400,GUADALUPE,,MEDIUM (51-100),98,unit count unknown
11435 EAST APACHE TRAIL,APACHE JUNCTION,AZ,85220,SHADY REST MHP,(480) 986-6997,MARICOPA,,MEDIUM (51-100),98,unit count unknown
9252 EAST BROADWAY ROAD,MESA,AZ,85208,SILVER SAND TRAILER PARK,(480) 984-6731,MARICOPA,,MEDIUM (51-100),98,unit count unknown
515 LESLIE DR,PORT ORANGE,FL,32127,SPRUCE CREEK VILLAGE,NOT AVAILABLE,VOLUSIA,,MEDIUM (51-100),98,unit count unknown
3000 STONEYBROOK DRIVE,RALEIGH,NC,27604,STONY BROOK NORTH MOBILE HOME,(919) 872-2346,WAKE,,MEDIUM (51-100),98,unit count unknown
2200 WEST VAN BUREN STREET,PHOENIX,AZ,85009,SUN TRAILER PARK,(602) 253-2650,MARICOPA,,MEDIUM (51-100),98,unit count unknown
101 OCOTILLO ST,HENDERSON,NV,89015,SUNRISE TRAILER PARK,NOT AVAILABLE,CLARK,,MEDIUM (51-100),98,unit count unknown
929 NORTH DELAWARE DRIVE,APACHE JUNCTION,AZ,85220,SUNSET MESA,(480) 982-2439,PINAL,,MEDIUM (51-100),98,unit count unknown
269 NORTH WINCHESTER ROAD,APACHE JUNCTION,AZ,85219,SUPERSTITION MOBILE VILLAGE,(480) 982-2746,PINAL,,MEDIUM (51-100),98,unit count unknown
84 SWANNS TLPK,AUBURN,AL,36832,SWANNS TRAILER PARK,NOT AVAILABLE,LEE,,MEDIUM (51-100),98,unit count unknown
9406 GREEN WING DR,MURRELLS INLET,SC,29576,TEAL ACRES,NOT AVAILABLE,HORRY,,MEDIUM (51-100),98,unit count unknown
5745 WEST MARYLAND AVENUE,GLENDALE,AZ,85301,TIKI TAI VILLAGE,(623) 939-6090,MARICOPA,,MEDIUM (51-100),98,unit count unknown
1110 W. MARYLAND AVE,NOT AVAILABLE,AZ,NOT AVAILABLE,TOWN & COUNTRY,NOT AVAILABLE,MARICOPA,,MEDIUM (51-100),98,unit count unknown
3751 SOUTH REDWOOD ROAD,WEST VALLEY CITY,UT,84119,TOWN & COUNTRY MHP,(801) 973-7045,SALT LAKE,,MEDIUM (51-100),98,unit count unknown
